"自治体コード","区市町村名","草創期","早期","前期","中期","後期","晩期"
13101,"千代田区",NA,3,7,9,7,3
13103,"港区",NA,2,5,10,10,2
13104,"新宿区",2,23,21,37,36,23
13105,"文京区",NA,4,4,8,7,4
13109,"品川区",NA,4,5,7,7,4
13110,"目黒区",3,12,15,40,18,12
13111,"大田区",2,4,23,10,13,4
13112,"世田谷区",3,48,46,94,39,48
13113,"渋谷区",NA,2,2,28,7,2
13114,"中野区",1,14,11,34,22,14
13115,"杉並区",16,50,35,88,47,50
13116,"豊島区",NA,2,3,5,5,2
13202,"立川市",NA,4,3,7,2,4
13203,"武蔵野市",NA,3,3,3,2,3
13204,"三鷹市",3,24,25,48,14,24
13205,"青梅市",NA,24,60,92,53,24
13206,"府中市",1,5,3,8,3,5
13207,"昭島市",NA,10,7,17,7,10
13208,"調布市",3,17,12,36,12,17
13210,"小金井市",5,9,10,15,14,9
13211,"小平市",NA,NA,1,1,NA,NA
13212,"日野市",1,7,10,12,7,7
13214,"国分寺市",NA,7,NA,16,3,7
13215,"国立市",NA,4,2,11,2,4
13218,"福生市",NA,2,3,8,5,2
13219,"狛江市",1,1,1,18,4,1
13223,"武蔵村山市",6,6,7,23,6,6
13227,"羽村市",NA,NA,1,7,1,NA
13228,"あきる野市",2,15,30,52,27,15
13229,"西東京市",2,6,4,5,2,6
13303,"瑞穂町",NA,5,8,10,1,5
13305,"日の出町",1,3,4,11,5,3
13307,"檜原村",NA,10,8,29,10,10
13308,"奥多摩町",NA,3,13,35,13,3
