JASID,画面経度,画面緯度
1320802400,139.545715,35.665703
1320802500,139.5582354,35.66304463
1320802600,139.5690487,35.6604266
1320802700,139.5248308,35.68457177
1320802800,139.5514406,35.66175237
1320802901,139.553741,35.66039332
1320802902,139.5522325,35.65998484
1320803000,139.556169,35.65751362
1320803100,139.5596349,35.65741136
1320803200,139.5699756,35.65401984
1320803300,139.5705303,35.6512732
1320803400,139.5734335,35.6527501
1320803500,139.5492385,35.65605693
1320803600,139.5582019,35.653348
1320803700,139.5663076,35.64808642
1320803800,139.5229111,35.65969456
1320803900,139.528214,35.655678
1320804000,139.53389,35.65073
1320804100,139.5469021,35.6494191
1320804200,139.5527996,35.6487906
1320804300,139.5561086,35.64930531
1320804400,139.5386634,35.64730895
1320804500,139.5445643,35.64632794
1320804600,139.5495276,35.64537974
