JASID,画面経度,画面緯度
1320700100,139.3352492,35.71278556
1320700200,139.3355582,35.70946822
1320700300,139.3413947,35.70647404
1320700400,139.342871,35.7057492
1320700500,139.3487761,35.70558193
1320700600,139.3439009,35.71222803
1320700700,139.3445876,35.71473687
1320700800,139.3432593,35.71653896
1320700900,139.3458235,35.71362184
1320701000,139.3447249,35.71303644
1320701100,139.3478148,35.71264618
1320701200,139.364304,35.709831
1320701300,139.3550932,35.70650192
1320701400,139.3565754,35.69975566
1320701500,139.3396437,35.69471973
1320701600,139.3454459,35.69296311
1320701700,139.3794033,35.72447999
1320701800,139.368829,35.70413075
1320701900,139.3659138,35.70134485
1320702000,139.3720906,35.70290405
1320702100,139.3789227,35.6988614
1320702200,139.3790943,35.69852683
1320702300,139.385941,35.699608
1320702400,139.387695,35.697475
1320702500,139.387695,35.697475
1320702600,139.343887,35.718903
1320702900,139.3370345,35.70871553
1320703000,139.3381331,35.70815797
1320703100,139.339874,35.710331
1320703200,139.3387511,35.70609498
1320703300,139.3436263,35.70990301
1320703400,139.3460982,35.70544253
1320703500,139.3537886,35.70976363
1320703600,139.3561291,35.69947685
1320703700,139.3640862,35.70291803
1320703800,139.378236,35.70061789
1320704300,139.354706,35.702305
1320704400,139.3627552,35.69930957
1320704500,139.3627895,35.6998393
1320704600,139.3650898,35.70053632
1320704700,139.3787318,35.71515566
1320704800,139.3795063,35.70383438
1320704900,139.3744938,35.6979692
1320705000,139.3825404,35.7047753
1320705100,139.3427838,35.72112314
1320705200,139.3540289,35.70480132
