ラベル,市町村,変換元住所
宮崎市,宮崎市,宮崎市橘通西1丁目1番1号
都城市,都城市,都城市姫城町6街区21号
延岡市,延岡市,延岡市東本小路2番地1　
日南市,日南市,日南市中央通1丁目1番地1　
,,
変換元住所という名の列の住所の座標を取得します。上記はC列ですがどこでもいいです。,,
多少ずれるので画面上で修正してください。ポイント上で右クリック！そしてドラッグ！,,
その後、右クリック→ファイル→csv保存してください。,,
エンコードはshift-jisです。Macの人は要注意！,,
