100-240		弥生後期後半	白山御殿跡 はくさんごてんあと	東京都文京区	集落	35.7190661	139.748433	23.1～23.2
100-240		弥生後期後半	白銀町遺跡 しろがねちょういせき	東京都新宿区白銀町28-2	集落,屋敷	35.71101108	139.7351011	17.8～18.1
B200-B100		弥生中期前半	日南田遺跡第2次 ひなたいせき	東京都八王子市寺田町814番地	集落	35.63100958	139.3087516	163～163
B200-240	不明	弥生	日影町遺跡 ひかげちょういせき	東京都文京区小石川4-2-1	不詳	35.7121223	139.7448224	22.8～22.8
100-240	弥生町式	弥生後期後半	南橋遺跡　第21地点 みなみばしいせき	東京都北区王子本町2-8-12	集落	35.76044971	139.7278776	_～_
1-400		弥生後期-古墳前期	南橋遺跡　第20地点 みなみばしいせき	東京都北区王子本町2-5-8	集落	35.7604497	139.7275998	25.6～25.6
1-400		弥生後期-古墳前期	南橋遺跡　第19地点 みなみばしいせき	東京都北区中十条1-2-18	集落	35.76072741	139.7262111	23.6～24.1
100-240	弥生町式	弥生後期後半	南橋遺跡　第18地点 みなみばしいせき	東京都北区中十条1-3-8	集落	35.76044968	139.7270443	26.7～26.7
100-240	弥生町式	弥生後期後半	南橋遺跡　第17地点 みなみばしいせき	東京都北区中十条1-3-9	集落	35.76044968	139.7270443	25.1～25.1
100-240	弥生町式	弥生後期後半	南橋遺跡　第16地点 みなみばしいせき	東京都北区中十条1-2-22	集落	35.76072742	139.7264888	24.5～24.6
100-240	弥生町式	弥生後期後半	南橋遺跡　第15地点 みなみばしいせき	東京都北区中十条1-2-2	集落	35.75989418	139.7267666	24.2～24.3
1-400		弥生後期-古墳前期	南橋遺跡　第14地点 みなみばしいせき	東京都北区中十条1-3-6,1-5-17	集落	35.76044969	139.7273221	25～25.2
1-400	？	弥生後期-古墳前期	南橋遺跡　第13地点 みなみばしいせき	東京都北区王子本町2-8-6	集落	35.75989421	139.7275999	_～_
100-240	弥生町式	弥生後期後半	南橋遺跡　第12地点 みなみばしいせき	東京都北区中十条1-3-4	集落	35.76072746	139.7281553	_～_
240-400	五領式	古墳前期	南橋遺跡　第12地点 みなみばしいせき	東京都北区中十条1-3-4	集落	35.76072746	139.7281553	_～_
240-400	五領式	古墳前期	南橋遺跡　第11地点 みなみばしいせき	東京都北区中十条1-3-17	集落	35.76072746	139.7281553	25.2～25.2
100-240	弥生町式	弥生後期後半	南橋遺跡　第10地点 みなみばしいせき	東京都北区中十条1-6-3	集落	35.76267163	139.726211	23.5～23.6
100-240	弥生町式	弥生後期後半	南橋遺跡 みなみばしいせき	東京都北区中十条1-3-17,北区中十条1-3-10,北区中十条1-2-1,北区王子本町2-8-8,北区王子本町2-9-9,北区中十条1-1-22,北区十条台1-3-16	集落,墓	35.75600574	139.7270445	25～26.3
