JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1320600100,13206,1,むさしこくぶんじあとかんれんいせき,武蔵国分寺跡関連遺跡,府中市 栄町一丁目　 栄町二丁目　 栄町三丁目　 武蔵台一丁目　 武蔵台二丁目,[旧石器時代][縄文時代（前期～後期）][奈良時代][平安時代][中世][近世],集落,[旧石器時代]炭化物集中部　[縄文時代]集石　土坑　焼土　[奈良時代][平安時代]土坑　火葬墓　[平安時代]住居　掘立柱建物　土坑　道路　溝　[中世][近世]柱穴列　土坑　道路　溝,ナイフ形石器　尖頭器　細石刃　石核　縄文土器　打斧　磨斧　石鏃　石匙　石錐　石錘　ピエス・エスキーユ　石皿　スタンプ形石器　剥片　凹石　敲石　土師器　須恵器　陶器(緑釉・灰釉)　磁器　擂鉢　瓦　石製品　砥石　鉄製品　瓦　銭貨　漆紙文書　土製品　木製くし　煙管
1320600200,13206,2,むさしこくふかんれんいせき,武蔵国府関連遺跡,府中市 日鋼町、片町一丁目、片町二丁目、片町三丁目 寿町一丁目、寿町二丁目、寿町三丁目、小柳町一丁目、小柳町二丁目 清水が丘一丁目、清水が丘二丁目、清水が丘三丁目 白糸台一丁目、白糸台二丁目、白糸台三丁目、白糸台四丁目、白糸台五丁目、白糸台六丁目 八幡町一丁目、八幡町二丁目、八幡町三丁目 府中町一丁目、府中町二丁目、府中町三丁目 分梅町一丁目、分梅町二丁目、分梅町三丁目 本宿町一丁目、本宿町二丁目、本宿町三丁目、本宿町四丁目 緑町一丁目、緑町二丁目、緑町三丁目 宮西町一丁目、宮西町二丁目、宮西町三丁目、宮西町四丁目、宮西町五丁目 宮町一丁目、宮町二丁目、宮町三丁目 美好町一丁目、美好町二丁目、美好町三丁目 若松町一丁目、若松町二丁目、若松町三丁目、日吉町 西府町一丁目、西府町二丁目、西府町三丁目、西府町四丁目、西府町五丁目、日新町二丁目 ,[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],官衙・集落,奈良時代][平安時代]住居　掘立柱建物　土坑　柵　道路　溝　井戸　土壙墓　地下式横穴墓　火葬墓　火葬遺構,須恵器　土師器　二彩　緑釉　刀子　鉄鏃　鉄斧　紡錘車　石帯　土錘　瓦
1320600300,13206,3,みたけづか,御岳塚,府中市 本宿町一丁目,［縄文時代（前期～中期）］［奈良時代］［平安時代］[中世]［近世］,包蔵地・塚,[中世]周溝,
1320600401,13206,4-1,たかくらこふんぐん1ごうふん,高倉古墳群1号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,
1320600402,13206,4-2,たかくらこふんぐん2ごうふん,高倉古墳群2号墳,府中市 美好町三丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,土師器
1320600403,13206,4-3,たかくらこふんぐん3ごうふん,高倉古墳群3号墳,府中市 美好町三丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,土師器　須恵器
1320600404,13206,4-4,たかくらこふんぐん4ごうふん,高倉古墳群4号墳,府中市 美好町三丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,
1320600405,13206,4-5,たかくらこふんぐん5ごうふん,高倉古墳群5号墳,府中市 片町二丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,土師器　土器
1320600406,13206,4-6,たかくらこふんぐん6ごうふん,高倉古墳群6号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝　石室,鉄鏃　砥石　臼玉　直刀　短刀　耳環　刀子
1320600407,13206,4-7,たかくらこふんぐん7ごうふん,高倉古墳群7号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝　石室,鉄鏃　刀子
1320600408,13206,4-8,たかくらこふんぐん8ごうふん,高倉古墳群8号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,
1320600409,13206,4-9,たかくらこふんぐん9ごうふん,高倉古墳群9号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝　石室,鉄鏃　銅製品　小玉　はばき　耳環
1320600410,13206,4-10,たかくらこふんぐん10ごうふん,高倉古墳群10号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝　石室,刀子　丸玉　切子玉　算盤玉　直刀　短刀　耳環
1320600411,13206,4-11,たかくらこふんぐん11ごうふん,高倉古墳群11号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,土師器
1320600412,13206,4-12,たかくらこふんぐん12ごうふん,高倉古墳群12号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,
1320600413,13206,4-13,たかくらこふんぐん13ごうふん,高倉古墳群13号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝　石室,
1320600414,13206,4-14,たかくらこふんぐん14ごうふん,高倉古墳群14号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,
1320600415,13206,4-15,たかくらこふんぐん15ごうふん,高倉古墳群15号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,
1320600416,13206,4-16,たかくらこふんぐん16ごうふん,高倉古墳群16号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,
1320600417,13206,4-17,たかくらこふんぐん17ごうふん,高倉古墳群17号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,土師器
