JASID,画面経度,画面緯度
1320600100,139.470458,35.69050485
1320600200,139.4847811,35.67019899
1320600300,139.457327,35.67054776
1320600401,139.4664047,35.66767101
1320600402,139.4674728,35.66994331
1320600403,139.4654823,35.66918099
1320600404,139.4670391,35.66970076
1320600405,139.4689057,35.67005159
1320600406,139.4669734,35.66843915
1320600407,139.4671582,35.66868743
1320600408,139.4667246,35.6685431
1320600409,139.4667531,35.66836457
1320600410,139.4664688,35.66853202
1320600411,139.4665398,35.66836457
1320600412,139.4663764,35.66870528
1320600413,139.4663479,35.66828946
1320600414,139.4661489,35.66828374
1320600415,139.4667744,35.66785631
1320600416,139.4668029,35.66801805
1320600417,139.4664545,35.66794294
1320600419,139.4655321,35.66955635
1320600420,139.4636625,35.67035912
1320600421,139.4634424,35.66980022
