JASID,自治体コード,遺跡番号,種類,所在地（代表地番）,時代,名称・備考,旧市番号,地図,経度,緯度
14136000900,14136,宮前区No.9,集落跡 その他の墓,川崎市宮前区野川2345ほか,縄文　弥生　古墳,十三菩提遺跡,久末-9,53,139.6099919,35.56915811
14136001000,14136,宮前区No.10,集落跡,川崎市宮前区野川2290ほか,縄文　弥生　古墳　奈良　平安,十三菩提西遺跡,野川-1,54,139.6072797,35.56762214
14136001100,14136,宮前区No.11,散布地,川崎市宮前区西野川3-13,縄文　弥生　古墳　奈良　平安,,野川-2,53,139.6058034,35.56929773
14136001200,14136,宮前区No.12,散布地,川崎市宮前区西野川3-12,縄文　弥生　古墳　奈良　平安,,野川-3,53,139.6027687,35.56900108
14136001300,14136,宮前区No.13,その他の墓,川崎市宮前区野川2624,平安,,野川-7,53,139.6041383,35.56803406
14136001400,14136,宮前区No.14,その他の墓,川崎市宮前区野川2618,平安,,野川-8,53,139.6031957,35.56788227
14136001500,14136,宮前区No.15,散布地,川崎市宮前区野川2660ほか,奈良　平安,,野川-4,54,139.6013932,35.56668141
14136001600,14136,宮前区No.16,古墳,川崎市宮前区東有馬5-15ほか,古墳,有馬古墳,野川-5,54,139.5946834,35.56689261
14136001700,14136,宮前区No.17,散布地,川崎市宮前区東有馬5-14ほか,縄文　奈良　平安,東有馬遺跡,野川-6,53,139.5932929,35.56791195
14136001800,14136,宮前区No.18,古墳,川崎市宮前区西野川1-38,古墳,野川古墳（３号墳）,馬絹-17,53,139.6083272,35.57784731
14136001900,14136,宮前区No.19,散布地 その他の墓,川崎市宮前区梶ヶ谷1117ほか,縄文　奈良　平安,,馬絹-2,53,139.6050108,35.57898763
14136002000,14136,宮前区No.20,その他の墓,川崎市宮前区西野川2-16,中世,,馬絹-4,53,139.6087551,35.57380428
14136002100,14136,宮前区No.21,散布地,川崎市宮前区西野川2-14,縄文　奈良　平安,野川中耕地遺跡,馬絹-3,53,139.6080899,35.57413938
14136002200,14136,宮前区No.22,散布地,川崎市宮前区野川3119ほか,縄文　弥生　古墳　奈良　平安,,馬絹-18,53,139.6025839,35.57518051
14136002300,14136,宮前区No.23,散布地,川崎市宮前区西野川3-8,縄文　弥生　古墳　奈良　平安,,馬絹-8,53,139.6033907,35.57304427
14136002400,14136,宮前区No.24,その他の墓,川崎市宮前区西野川3-5,平安,,馬絹-26,53,139.6051245,35.57185745
14136002500,14136,宮前区No.25,散布地,川崎市宮前区西野川3-3,縄文,,馬絹-9,53,139.6014466,35.5714865
14136002600,14136,宮前区No.26,集落跡 その他の墓,川崎市宮前区野川2935ほか,縄文　奈良　平安,野川西耕地遺跡,馬絹-11,53,139.5987559,35.57326323
14136002700,14136,宮前区No.27,散布地,川崎市宮前区宮崎3-3-22ほか,縄文　古墳　奈良　平安,,宮崎-15,52,139.5878976,35.58862586
14136002800,14136,宮前区No.28,古墳,川崎市宮前区宮崎175,古墳,宮崎大塚古墳,宮崎-17,52,139.597214,35.590809
14136002900,14136,宮前区No.29,散布地,川崎市宮前区宮崎85,縄文　弥生,,宮崎-11,52,139.6002708,35.58554395
14136003000,14136,宮前区No.30,古墳,川崎市宮前区馬絹5-21,古墳,馬絹古墳,馬絹-6,52,139.6014381,35.58360344
14136003100,14136,宮前区No.31,集落跡,川崎市宮前区馬絹5-23,縄文,馬絹神社北遺跡,馬絹-5,52,139.6014381,35.58381285
14136003200,14136,宮前区No.32,その他の墓,川崎市宮前区馬絹6-19,平安,,馬絹-19,52,139.596452,35.58346392
14136003300,14136,宮前区No.33,その他の墓,川崎市宮前区馬絹1-13,平安,,馬絹-20,52,139.5958319,35.58317075
14136003400,14136,宮前区No.34,散布地,川崎市宮前区宮崎1-5ほか,縄文,,宮崎-26,52,139.5931132,35.58604661
14136003500,14136,宮前区No.35,散布地,川崎市宮前区宮崎1-11ほか,古墳,,宮崎-27,52,139.5936282,35.58425968
14136003600,14136,宮前区No.36,散布地,川崎市宮前区宮崎1-10ほか,縄文　弥生　古墳　奈良　平安,,宮崎-33,52,139.591782,35.58506
14136003700,14136,宮前区No.37,散布地,川崎市宮前区馬絹2-9,縄文　奈良　平安,,馬絹-13,52,139.5920554,35.58149893
14136003800,14136,宮前区No.38,散布地,川崎市宮前区馬絹1-15,古墳,,有馬-7,58,139.5872942,35.58142913
14136003900,14136,宮前区No.39,集落跡,川崎市宮前区小台2-10,縄文　古墳,小台遺跡,有馬-6,58,139.5840513,35.58271904
14136004000,14136,宮前区No.40,散布地,川崎市宮前区馬絹1-35,縄文,,馬絹-22,59,139.5883475,35.58003301
14136004100,14136,宮前区No.41,散布地,川崎市宮前区西野川1-2,縄文,,馬絹-10,53,139.5965068,35.57691836
14136004200,14136,宮前区No.42,散布地,川崎市宮前区東有馬2-12,縄文,,馬絹-21,53,139.594742,35.576748
14136004300,14136,宮前区No.43,その他の墓,川崎市宮前区東有馬1-1,平安,,馬絹-14,59,139.5904472,35.57766881
14136004400,14136,宮前区No.44,その他の墓,川崎市宮前区東有馬1-2,平安,,馬絹-24,59,139.5900523,35.57673337
14136004500,14136,宮前区No.45,集落跡 その他の墓,川崎市宮前区有馬3-4ほか,縄文　弥生　古墳　奈良　平安,東有馬一丁目遺跡・骨蔵器,馬絹-23,59,139.5880267,35.57773861
14136004600,14136,宮前区No.46,散布地,川崎市宮前区東有馬2-36ほか,縄文　平安,,馬絹-12,53,139.5939147,35.57323236
14136004700,14136,宮前区No.47,散布地,川崎市宮前区東有馬2-32,縄文　奈良　平安,,馬絹-15,53,139.5925586,35.57439123
14136004800,14136,宮前区No.48,散布地 その他の墓,川崎市宮前区東有馬3-9ほか,縄文　奈良　平安,骨蔵器,馬絹-16,53,139.5901897,35.57330217
14136004900,14136,宮前区No.49,その他の墓,川崎市宮前区東有馬3-13,平安,,馬絹-25,59,139.5899837,35.5722829
14136005000,14136,宮前区No.50,散布地,川崎市宮前区有馬3-18ほか,縄文,,有馬-1,59,139.5866534,35.57567226
14136005100,14136,宮前区No.51,集落跡,川崎市宮前区有馬4-4ほか,縄文,有馬遺跡群,有馬-8,59,139.5806625,35.57628659
14136005200,14136,宮前区No.52,散布地,川崎市宮前区有馬4-3ほか,縄文,,有馬-3,59,139.5799432,35.57586579
14136005300,14136,宮前区No.53,散布地,川崎市宮前区有馬5-11ほか,縄文,,有馬-9,59,139.5826537,35.57327075
14136005400,14136,宮前区No.54,散布地,川崎市宮前区有馬5-4ほか,縄文,,有馬-4,59,139.5799586,35.57419227
14136005500,14136,宮前区No.55,その他の墓,川崎市宮前区有馬7-1ほか,平安,,有馬-14,59,139.5775382,35.57279603
14136005600,14136,宮前区No.56,散布地,川崎市宮前区有馬7-7,縄文,,有馬-15,59,139.5769202,35.57130202
14136005700,14136,宮前区No.57,散布地,川崎市宮前区有馬8-19,奈良　平安,,有馬-18,59,139.573685,35.57304
14136005800,14136,宮前区No.58,散布地,川崎市宮前区有馬9-15ほか,縄文　奈良,,有馬-5,59,139.573746,35.570984
14136005900,14136,宮前区No.59,その他の墓,川崎市宮前区有馬8-17ほか,中世,堂尻谷戸遺跡,有馬-19,59,139.5723879,35.5730772
14136006000,14136,宮前区No.60,散布地,川崎市宮前区有馬8-15,縄文,,有馬-17,59,139.5728342,35.57372645
14136006100,14136,宮前区No.61,散布地,川崎市宮前区有馬9-2ほか,縄文,,有馬-24,59,139.5700061,35.5723686
14136006200,14136,宮前区No.62,集落跡,川崎市宮前区小台1-6ほか,縄文,,有馬-11,58,139.5790243,35.58163712
14136006300,14136,宮前区No.63,散布地,川崎市宮前区小台1-10,縄文　弥生　古墳　奈良　平安,,有馬-2,59,139.5792475,35.58003857
14136006400,14136,宮前区No.64,散布地,川崎市宮前区小台1-15ほか,縄文,,有馬-12,59,139.5770073,35.57982217
14136006500,14136,宮前区No.65,その他の墓,川崎市宮前区小台1-11ほか,平安,,有馬-10,59,139.5772819,35.57945219
14136006600,14136,宮前区No.66,散布地,川崎市宮前区有馬1-1,縄文　平安,,有馬-16,59,139.5761318,35.578433
14136006700,14136,宮前区No.67,その他の墓,川崎市宮前区有馬1-9,平安,,有馬-25,59,139.5790758,35.57828641
14136006800,14136,宮前区No.68,散布地,川崎市宮前区有馬4-1ほか,縄文,,有馬-13,59,139.5771091,35.57599338
14136006900,14136,宮前区No.69,散布地,川崎市宮前区鷺沼2-1,縄文,鷺沼南遺跡,有馬-23,59,139.5688903,35.57672482
14136007000,14136,宮前区No.70,散布地,川崎市宮前区鷺沼3-10ほか,縄文,,有馬-22,59,139.5690791,35.57962185
14136007100,14136,宮前区No.71,散布地,川崎市宮前区鷺沼4-3ほか,縄文,,有馬-21,58,139.5692508,35.581367
14136007200,14136,宮前区No.72,その他の墓,川崎市宮前区鷺沼4-9-6,平安,,有馬-20,64,139.5676715,35.58255368
14136007300,14136,宮前区No.73,集落跡,川崎市宮前区土橋2-4ほか,縄文,土橋遺跡,土橋-9,58,139.5763893,35.58411167
14136007400,14136,宮前区No.74,集落跡,川崎市宮前区土橋2-14ほか,縄文,第六天遺跡,土橋-8,58,139.5733725,35.58566894
14136007500,14136,宮前区No.75,集落跡,川崎市宮前区神木本町2-10,縄文　弥生　古墳　奈良　平安,東高根遺跡,五所塚-3,57,139.5864184,35.6048945
14136007600,14136,宮前区No.76,散布地,川崎市宮前区神木本町2丁目,縄文　奈良　平安,東高根遺跡,五所塚-4,57,139.585327,35.60342
14136007700,14136,宮前区No.77,散布地,川崎市宮前区神木本町2-22,弥生,,五所塚-6,57,139.5862296,35.6030382
14136007800,14136,宮前区No.78,横穴墓,川崎市宮前区神木本町2-11,古墳,,津田山-21,57,139.5875897,35.60202334
14136007900,14136,宮前区No.79,集落跡,川崎市宮前区神木本町1-28ほ,縄文,長尾鯉坂遺跡,五所塚-5,57,139.5827277,35.60514572
14136008000,14136,宮前区No.80,集落跡,川崎市宮前区五所塚1-1-1ほか,縄文,長尾権現台遺跡・五所塚,五所塚-19,57,139.576874,35.606144
14136008100,14136,宮前区No.81,散布地,川崎市宮前区五所塚1-6ほか,縄文　奈良　平安,,五所塚-35,57,139.575912,35.605789
14136008200,14136,宮前区No.82,散布地,川崎市宮前区平1-14,縄文,,五所塚-36,57,139.5770006,35.60279918
14136008300,14136,宮前区No.83,集落跡,川崎市宮前区平1-11,縄文　弥生　古墳　奈良　平安,東泉寺上遺跡,五所塚-22,57,139.5785971,35.60242931
14136008400,14136,宮前区No.84,散布地,川崎市宮前区平1-10-39,縄文　古墳　奈良　平安,,五所塚-23,57,139.5794382,35.60205246
14136008500,14136,宮前区No.85,集落跡,川崎市宮前区平1-6,弥生,平風久保遺跡・東泉寺上遺跡,五所塚-24,57,139.5780134,35.60182914
14136008600,14136,宮前区No.86,集落跡,川崎市宮前区平1丁目,弥生,平風久保遺跡・東泉寺上遺跡,五所塚-37,57,139.5772496,35.60148719
14136008700,14136,宮前区No.87,散布地,川崎市宮前区平2-23,縄文　弥生,,五所塚-37,57,139.5722564,35.60292305
14136008800,14136,宮前区No.88,散布地,川崎市宮前区平2-15ほか,縄文　奈良　平安,,五所塚-39,57,139.5742562,35.60205072
14136008900,14136,宮前区No.89,集落跡 墓地,川崎市宮前区平2-12,縄文　弥生　平安,風久保遺跡・風久保西遺跡,五所塚-27,57,139.5745051,35.6011051
14136009000,14136,宮前区No.90,集落跡,川崎市宮前区野川本町1-14,縄文　弥生　古墳,野川北耕地西遺跡,千年-18,53,139.6127204,35.58008012
14136009100,14136,宮前区No.91,散布地,川崎市宮前区平2-16,弥生　奈良　平安,,五所塚-28,57,139.5728658,35.60105276
14136009200,14136,宮前区No.92,散布地,川崎市宮前区平2-7,縄文　奈良　平安,,五所塚-33,57,139.5703166,35.60129003
14136009300,14136,宮前区No.93,散布地,川崎市宮前区初山1-3,縄文　奈良　平安,,五所塚-32,63,139.5668624,35.60157344
14136009400,14136,宮前区No.94,散布地,川崎市宮前区初山1-4,縄文,,五所塚-31,63,139.5655444,35.60267531
14136009500,14136,宮前区No.95,散布地,川崎市宮前区初山2-7,縄文　奈良　平安,,五所塚-34,63,139.5668023,35.5976792
14136009600,14136,宮前区No.96,集落跡,川崎市宮前区白幡台2-2ほか,縄文,初山遺跡,土橋-28,63,139.5673345,35.59548773
14136009700,14136,宮前区No.97,散布地,川崎市宮前区南平台21ほか,縄文,,土橋-5,57,139.5702012,35.59597628
14136009800,14136,宮前区No.98,集落跡,川崎市宮前区神木本町5-12ほか,縄文　弥生,平遺跡,五所塚-38,57,139.579796,35.59966085
14136009900,14136,宮前区No.99,古墳,川崎市宮前区神木本町5-3,古墳,長尾古墳,五所塚-7,57,139.5821993,35.60006563
14136010000,14136,宮前区No.100,散布地,川崎市宮前区神木本町48ほか,縄文　奈良　平安,,五所塚-9,57,139.5836348,35.59884431
14136010100,14136,宮前区No.101,散布地,川崎市宮前区神木本町3-4,縄文　弥生,,五所塚-8,57,139.5847399,35.59936774
14136010200,14136,宮前区No.102,散布地,川崎市宮前区神木本町4-18,縄文　弥生　古墳　奈良　平安,,五所塚-11,57,139.585114,35.597305
14136010300,14136,宮前区No.103,散布地,高津区向ヶ丘167ほか,縄文　弥生,,宮崎-20,57,139.5883898,35.59535823
14136010400,14136,宮前区No.104,散布地,川崎市宮前区神木2-16ほか,縄文,,土橋-10,57,139.5859649,35.59505553
14136010500,14136,宮前区No.105,散布地,川崎市宮前区神木2-11ほか,縄文,,土橋-1,57,139.5840125,35.5958049
14136010600,14136,宮前区No.106,散布地,川崎市宮前区神木2-9,縄文　弥生　古墳　奈良　平安,,土橋-2,57,139.5818324,35.59531635
14136010700,14136,宮前区No.107,散布地,川崎市宮前区神木本町4-3-4ほか,縄文　弥生　古墳　奈良　平安,,五所塚-10,57,139.5818903,35.59786027
14136010800,14136,宮前区No.108,散布地,川崎市宮前区平6-1ほか,縄文　奈良　平安,,五所塚-25,57,139.5789892,35.59844651
14136010900,14136,宮前区No.109,散布地,川崎市宮前区平6-8ほか,縄文　弥生　古墳　奈良　平安,,土橋-18,57,139.5772147,35.59646095
14136011000,14136,宮前区No.110,集落跡,川崎市宮前区平6-5ほか,縄文,南平遺跡,土橋-19,57,139.5798754,35.5952326
14136011100,14136,宮前区No.111,散布地,川崎市宮前区けやき平6-6ほか,縄文,,土橋-20,57,139.5787745,35.59365402
14136011200,14136,宮前区No.112,散布地 その他の墓,川崎市宮前区宮崎6-5,縄文　弥生　平安,,土橋-23,58,139.5799074,35.59210496
14136011300,14136,宮前区No.113,集落跡,川崎市宮前区宮崎6-2,縄文,大野遺跡,土橋-22,58,139.5811262,35.59256561
14136011400,14136,宮前区No.114,散布地,川崎市宮前区神木1-6ほか,縄文,,土橋-11,58,139.5823107,35.59315189
14136011500,14136,宮前区No.115,その他の墓,川崎市宮前区宮崎6-3-10,平安,,土橋-13,58,139.5838535,35.59300358
14136011600,14136,宮前区No.116,散布地 その他の墓,川崎市宮前区宮崎6-4-6ほか,縄文　平安,,土橋-12,58,139.5846946,35.59310129
14136011700,14136,宮前区No.117,散布地,川崎市宮前区宮崎4-1ほか,縄文　弥生　古墳　奈良　平安,,土橋-3,58,139.5862911,35.5932688
14136011800,14136,宮前区No.118,散布地,川崎市宮前区宮崎6-2,縄文,,土橋-14,58,139.5841646,35.5918537
14136011900,14136,宮前区No.119,散布地,川崎市宮前区宮崎5-4-21ほか,古墳,,宮崎-29,58,139.5878118,35.59122233
14136012000,14136,宮前区No.120,古墳,川崎市宮前区宮崎5-4ほか,古墳,,宮崎-30,58,139.5887044,35.59083147
14136012100,14136,宮前区No.121,散布地,川崎市宮前区宮崎3-18,縄文,,宮崎-28,58,139.5899919,35.59187842
14136012200,14136,宮前区No.122,散布地,川崎市宮前区宮崎2-6-1ほか,縄文,,宮崎-31,58,139.5902022,35.58874452
14136012300,14136,宮前区No.123,散布地,川崎市宮前区宮崎3-3-18ほか,縄文　弥生,,宮崎-32,58,139.592865,35.592197
14136012400,14136,宮前区No.124,散布地,川崎市宮前区宮前平3-14ほか,縄文,,土橋-15,58,139.5851628,35.58917029
14136012500,14136,宮前区No.125,散布地,川崎市宮前区宮前平3-12ほか,縄文,,土橋-16,58,139.5840792,35.58763994
14136012600,14136,宮前区No.126,散布地,川崎市宮前区宮前平2-1ほか,縄文,,土橋-17,58,139.584002,35.58565062
14136012700,14136,宮前区No.127,散布地,川崎市宮前区宮前平2-12ほか,縄文　古墳　奈良　平安,土橋-４遺跡,土橋-4,58,139.5828175,35.58764692
14136012800,14136,宮前区No.128,散布地,川崎市宮前区宮前平2-20ほか,縄文,,土橋-25,58,139.5809078,35.58934129
14136012900,14136,宮前区No.129,散布地,川崎市宮前区宮前平2-20ほか,縄文,,土橋-26,58,139.5785818,35.58890156
14136013000,14136,宮前区No.130,散布地,川崎市宮前区土橋7-5ほか,縄文,,土橋-24,58,139.5767106,35.59065349
14136013100,14136,宮前区No.131,散布地,川崎市宮前区土橋7-18,縄文,土橋№６遺跡,土橋-6,58,139.5746765,35.59204244
14136013200,14136,宮前区No.132,散布地,川崎市宮前区けやき平1,縄文,,土橋-21,58,139.5764914,35.59327713
14136013300,14136,宮前区No.133,散布地,川崎市宮前区けやき平10ほか,縄文,,土橋-7,58,139.5734662,35.59350814
14136013400,14136,宮前区No.134,散布地,川崎市宮前区けやき平9ほか,旧石器,,土橋-27,58,139.5706832,35.59125723
14136013500,14136,宮前区No.135,散布地,川崎市宮前区南平台10,縄文,,土橋-29,64,139.5662873,35.59254241
14136013600,14136,宮前区No.136,生産遺跡,川崎市宮前区犬蔵1-1ほか,古墳,白井坂埴輪窯跡,土橋-30,64,139.565944,35.59233303
14136013700,14136,宮前区No.137,散布地,川崎市宮前区犬蔵1-12,縄文,,蔵敷-1,64,139.5633863,35.58977846
14136013800,14136,宮前区No.138,散布地,川崎市宮前区犬蔵1-13,縄文,,蔵敷-2,64,139.5615495,35.58926196
14136013900,14136,宮前区No.139,散布地,川崎市宮前区犬蔵1-10ほか,縄文,,蔵敷-3,64,139.5649827,35.58846625
14136014000,14136,宮前区No.140,散布地,川崎市宮前区犬蔵2-16,縄文　弥生　古墳　奈良　平安,,蔵敷-5,64,139.5629056,35.5868469
14136014100,14136,宮前区No.141,集落跡,川崎市宮前区犬蔵2-13ほか,縄文　弥生,,蔵敷-8,64,139.5633519,35.58552068
14136014200,14136,宮前区No.142,散布地,川崎市宮前区犬蔵2-33ほか,縄文　奈良　平安,,元石川-l,64,139.56297,35.58244935
14136014300,14136,宮前区No.143,散布地,川崎市宮前区犬蔵2-20ほか,縄文,,蔵敷-4,64,139.561432,35.587307
14136014400,14136,宮前区No.144,散布地,川崎市宮前区犬蔵2-27ほか,縄文,,蔵敷-7,64,139.5612662,35.58626057
14136014500,14136,宮前区No.145,散布地,川崎市宮前区犬蔵2-22ほか,縄文　弥生　古墳,,蔵敷-6,64,139.5598415,35.586812
14136014600,14136,宮前区No.146,集落跡,川崎市宮前区犬蔵2-28ほか,縄文,向ヶ丘南菅生地内遺跡,蔵敷-9,64,139.5583695,35.58624661
14136014700,14136,宮前区No.147,散布地,川崎市宮前区菅生1-33ほか,縄文　奈良　平安,,生田緑地-7,63,139.555374,35.599854
14136014800,14136,宮前区No.148,散布地,川崎市宮前区菅生1-36,縄文　奈良　平安,,生田緑地-5,63,139.555374,35.599854
14136014900,14136,宮前区No.149,散布地,川崎市宮前区菅生1-12,縄文　弥生　古墳　奈良　平安,,生田緑地-4,63,139.556778,35.601372
14136015000,14136,宮前区No.150,散布地,川崎市宮前区菅生1-9,縄文　弥生　古墳　奈良　平安,,生田緑地-6,63,139.553284,35.600735
14136015100,14136,宮前区No.151,散布地,川崎市宮前区菅生2-10,縄文　奈良　平安,菅生遺跡,生田緑地-13,63,139.552765,35.598785
14136015200,14136,宮前区No.152,散布地,川崎市宮前区菅生2-16ほか,縄文,,生田緑地-12,63,139.547073,35.59956
14136015300,14136,宮前区No.153,その他の墓,川崎市宮前区菅生2-14,平安,,生田緑地-14,63,139.550064,35.598595
14136015400,14136,宮前区No.154,散布地 その他の墓,川崎市宮前区菅生2-6ほか,縄文　平安,,生田緑地-10,63,139.553757,35.596874
14136015500,14136,宮前区No.155,散布地,川崎市宮前区菅生2-7ほか,（不明）,,生田緑地-9,63,139.554749,35.597317
14136015600,14136,宮前区No.156,散布地,川崎市宮前区菅生1-3ほか,縄文,,生田緑地-8,63,139.55542,35.597496
14136015700,14136,宮前区No.157,散布地,川崎市宮前区菅生3-21ほか,縄文,,蔵敷-17,63,139.549179,35.59544
14136015800,14136,宮前区No.158,散布地,川崎市宮前区菅生3-17ほか,縄文,,蔵敷-18,63,139.550446,35.595413
14136015900,14136,宮前区No.159,散布地,川崎市宮前区菅生4-5ほか,縄文　奈良　平安,,蔵敷-18,64,139.5535217,35.59212595
14136016000,14136,宮前区No.160,集落跡,川崎市宮前区菅生5-23ほか,縄文,菅生カエンヅカ遺跡,蔵敷-15,64,139.5547662,35.59149778
14136016100,14136,宮前区No.161,集落跡,川崎市宮前区水沢1-1,縄文,菅生水沢遺跡Ｃ地点,蔵敷-12,64,139.5526247,35.59126397
14136016200,14136,宮前区No.162,集落跡,川崎市宮前区水沢1-1,縄文　古墳,菅生水沢遺跡Ｂ地点,蔵敷-11,64,139.5501013,35.59098478
14136016300,14136,宮前区No.163,散布地,川崎市宮前区水沢1-2ほか,縄文　弥生　古墳　奈良　平安,,蔵敷-14,64,139.5475264,35.58964467
14136016400,14136,宮前区No.164,集落跡,川崎市宮前区水沢1-1,,菅生水沢遺跡Ａ地点,蔵敷-19,64,139.5486422,35.59109645
14136016500,14136,宮前区No.165,集落跡,川崎市宮前区菅生4-14ほか,奈良　平安,菅生水沢遺跡Ｅ地点,蔵敷-10,64,139.5499297,35.59249238
14136016600,14136,宮前区No.166,集落跡,川崎市宮前区水沢1-1,縄文　弥生　古墳　奈良　平安,菅生水沢遺跡Ｄ地点・Ｆ地点,蔵敷-13,64,139.5468741,35.59225507
14136016700,14136,宮前区No.167,散布地,川崎市宮前区水沢2-9,縄文　奈良　平安,,稗原-10,70,139.5422245,35.59243699
14136016800,14136,宮前区No.168,散布地,川崎市宮前区菅生ケ丘38ほか,縄文,鷲ヶ峰遺跡,長沢-1,69,139.541092,35.598068
14136016900,14136,宮前区No.169,散布地,川崎市宮前区潮見台7,奈良　平安,,稗原-5,70,139.5394779,35.59608023
14136017000,14136,宮前区No.170,散布地 その他の墓,川崎市宮前区潮見台3-8ほか,縄文　平安,潮見台遺跡Ａ地点,稗原-6,69,139.5361649,35.59536835
14136017100,14136,宮前区No.171,散布地 その他の墓,川崎市宮前区潮見台2-38ほか,縄文　弥生　古墳　奈良　平安,潮見台遺跡Ｃ地点,稗原-3,69,139.5364224,35.59460062
14136017200,14136,宮前区No.172,散布値,川崎市宮前区潮見台18,縄文,,稗原-4,70,139.5337962,35.59208838
14136017300,14136,宮前区No.173,散布地,川崎市宮前区潮見台4,縄文　奈良　平安,,稗原-7,69,139.531015,35.59543814
14136017400,14136,宮前区No.174,散布地,川崎市宮前区潮見台7,縄文　奈良　平安,,稗原-8,69,139.5290581,35.59365142
14136017500,14136,宮前区No.175,散布地,川崎市宮前区潮見台24,縄文,,稗原-5,70,139.5273415,35.59288368
14136017600,14136,宮前区No.176,散布地,川崎市宮前区野川本町2-8,縄文　古墳　奈良　平安,野川東耕地北遺跡,千年-24,48,139.6145986,35.57684542
14136017700,14136,宮前区No.177,散布地,川崎市宮前区有馬1-5,縄文　奈良　平安,,有馬-26,59,139.5775223,35.57820962
14136017800,14136,宮前区No.178,その他の墓,川崎市宮前区東有馬1-3,平安,,馬絹-27,59,139.5898635,35.57765484
14136017900,14136,宮前区No.179,散布地,川崎市宮前区野川本町2-7,縄文　古墳　奈良　平安,,千年-28,48,139.6134742,35.57679793
14136018000,14136,宮前区No.180,散布地,川崎市宮前区西野川1-15,縄文　弥生　古墳　奈良　平安,,馬絹-7,53,139.601039,35.57611596
14136018100,14136,宮前区No.181,散布地,川崎市宮前区野川3004,縄文,,馬絹-29,53,139.597168,35.575649
14136018200,14136,宮前区No.182,集落跡,川崎市宮前区野川3013,縄文　古墳,野川西耕地遺跡,馬絹-30,53,139.5990649,35.57428248
14136018300,14136,宮前区No.183,散布地,川崎市宮前区神木本町4-10,弥生,,五所塚-41,57,139.5834717,35.59767881
14136018400,14136,宮前区No.184,散布地,川崎市宮前区平2-19,古墳,,五所塚-42,57,139.5712693,35.60214144
14136018500,14136,宮前区No.185,その他の墓,川崎市宮前区東有馬3-5,中世,板碑,有馬-27,59,139.5872199,35.57246442
14136018600,14136,宮前区No.186,その他の墓,川崎市宮前区菅生1-18,中世,,生田緑地-15,63,139.554016,35.601593
14136018700,14136,宮前区No.187,散布地,川崎市宮前区菅生2-12,縄文,,生田緑地-16,63,139.552963,35.599861
14136018800,14136,宮前区No.188,散布地,川崎市宮前区菅生1-10,縄文,,生田緑地-17,63,139.556305,35.599586
14136018900,14136,宮前区No.189,散布地,川崎市宮前区菅生1-18,縄文　奈良　平安,,生田緑地-18,63,139.554016,35.601593
14136019000,14136,宮前区No.190,散布地,川崎市宮前区水沢3-1,奈良　平安,,蔵敷-20,64,139.5476809,35.59323221
14136019100,14136,宮前区No.191,散布地,川崎市宮前区神木本町1-25ほか,縄文　奈良　平安,,五所塚-21,57,139.5821441,35.60428039
14136019200,14136,宮前区No.192,その他の墓,川崎市宮前区有馬4-16,平安,,―,59,139.5817954,35.57549075
14136019300,14136,宮前区No.193,散布地,高津区上作延722ほか,縄文　古墳　奈良　平安　中世,,津田山-23,57,139.5864501,35.59720074
14136019400,14136,宮前区No.194,散布地,川崎市宮前区馬絹1-19,古墳,,―,58,139.5857335,35.58256547
14136019600,14136,宮前区No.196,散布地,川崎市宮前区小台1-3ほか,縄文,小台西遺跡,―,58,139.5798434,35.58320766
14136019700,14136,宮前区No.197,狩場,川崎市宮前区梶ヶ谷金山1451付近,縄文,梶ヶ谷金山西遺跡,―,53,139.6017596,35.57973162
14136019800,14136,宮前区No.198,散布地,川崎市宮前区東有馬5-36,縄文,,―,53,139.5965068,35.56803815
14135000100,14135,多摩区No.1,散布地,川崎市多摩区長尾7-8ほか,縄文,,五所塚-1,56,139.5860906,35.60811531
14135000200,14135,多摩区No.2,集落跡,川崎市多摩区長尾7-12,縄文　弥生　古墳　奈良　平安,下原遺跡,五所塚-2,56,139.584793,35.606651
14135000300,14135,多摩区No.3,集落跡,川崎市多摩区長尾7-29ほか,縄文　弥生　古墳　奈良　平安,新林遺跡,五所塚-20,57,139.5807562,35.60596949
14135000400,14135,多摩区No.4,集落跡,川崎市多摩区長尾6-11,縄文　弥生　古墳　奈良　平安,長尾台遺跡・長尾台北遺跡,五所塚-15,56,139.5806189,35.60804204
14135000500,14135,多摩区No.5,城館跡,川崎市多摩区長尾3-9,中世,長尾妙楽寺北遺跡,五所塚-14,56,139.578104,35.60832814
14135000600,14135,多摩区No.6,その他の墓,川崎市多摩区長尾3-9,中世,妙楽寺出土板碑,五所塚-13・16,56,139.5767737,35.60831419
14135000700,14135,多摩区No.7,横穴墓,川崎市多摩区長尾3-10,古墳,大師穴,五所塚-12,56,139.5761975,35.60925893
14135000800,14135,多摩区No.8,散布地,川崎市多摩区長尾3-10-2,縄文,,五所塚-17,57,139.5766953,35.60724922
14135000900,14135,多摩区No.9,散布地,川崎市多摩区長尾3-10-1,縄文　弥生,,五所塚-18,57,139.5768584,35.60689332
14135001000,14135,多摩区No.10,散布地,川崎市多摩区東生田4-8,縄文　奈良　平安,,五所塚-29,63,139.566864,35.60405
14135001100,14135,多摩区No.11,その他の墓,川崎市多摩区東生田4-10,平安,,五所塚-40,63,139.566151,35.60318602
14135001200,14135,多摩区No.12,散布地,川崎市多摩区東生田4-11ほか,縄文,,五所塚-30,63,139.5658935,35.60345818
