JASID,自治体コード,遺跡番号,種類,所在地（代表地番）,時代,名称・備考,旧市番号,地図,経度,緯度
14134000800,14134,高津区No.8,横穴墓,高津区久地1-1,古墳,法泉坊横穴,津田山-27,51,139.6074763,35.60454043
14134000900,14134,高津区No.9,横穴墓 集落跡,高津区久地1-1,弥生　古墳,久地西前田横穴墓群,津田山-41,51,139.6065772,35.60471489
14134001000,14134,高津区No.10,横穴墓,高津区久地1-31,古墳,西前田横穴墓群（久地浄元寺裏横穴墓群）,津田山-2,51,139.6055834,35.6062565
14134001100,14134,高津区No.11,横穴墓,高津区久地1-28,古墳,浄元寺裏横穴墓,津田山-25,51,139.6050169,35.60674498
14134001200,14134,高津区No.12,横穴墓,高津区久地1-39,古墳,久地神社裏横穴墓群,津田山-l,50,139.6044761,35.60762861
14134001300,14134,高津区No.13,集落跡,高津区久地1-27,古墳,久地不動台遺跡,津田山-26,51,139.6042187,35.60586048
14134001400,14134,高津区No.14,横穴墓,高津区下作延7-29,古墳,津田山坂下横穴墓群,津田山-41,51,139.6064055,35.60401704
14134001500,14134,高津区No.15,横穴墓,高津区下作延7-27,古墳,,津田山-28,51,139.6055966,35.60394028
14134001600,14134,高津区No.16,横穴墓,高津区下作延7-8,古墳,,津田山-6,51,139.605469,35.602886
14134001700,14134,高津区No.17,古墳,高津区下作延7-12,古墳,日向古墳,津田山-5,51,139.6039349,35.60363348
14134001800,14134,高津区No.18,横穴墓,高津区下作延7-12,古墳,平瀬川隧道際横穴墓・平瀬川隧道際西横穴墓,津田山-32,51,139.603516,35.604122
14134001900,14134,高津区No.19,横穴墓,高津区下作延7-12,古墳,日向横穴墓群,津田山-10,51,139.6033414,35.604598
14134002000,14134,高津区No.20,横穴墓,高津区下作延6-7,古墳,中之橋横穴墓群,津田山-33,51,139.6024827,35.60382189
14134002100,14134,高津区No.21,集落跡,高津区久地1-47,縄文　弥生,久地西前田耕地西遺跡,津田山-9,50,139.6020257,35.60748032
14134002200,14134,高津区No.22,散布地,高津区下作延6-32,古墳,,津田山-31,50,139.5986611,35.60817814
14134002300,14134,高津区No.23,集落跡,高津区下作延6-30,縄文　弥生,北の谷遺跡,津田山-l4,50,139.597319,35.60952879
14134002400,14134,高津区No.24,集落跡 古墳,高津区久地4-18,縄文　弥生　古墳,久地伊屋之免遺跡・久地伊屋之免古墳,津田山-15,50,139.591995,35.608223
