遺跡番号,29
ふりがな,なかのだいせき
遺跡名,中野田遺跡
所在地,世田谷区 喜多見八丁目 喜多見九丁目
時代,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世][近世]
種別,集落
主な遺構/概要,[古墳時代]住居 ピット 溝 [奈良時代]掘立柱建物 [平安時代]住居 [中世]竪穴遺構 井戸 土坑 [近世]ピット 土坑 溝
主な出土品,縄文土器 石器 弥生土器 土師器 須恵器 カワラケ 瓦質土器 陶磁器 鉄製品 青銅製品 煙管 木竹製品 板碑 銭貨 枕石 灰釉陶器 土錘 鉱滓
