JASID,画面経度,画面緯度
1322700100,139.299062,35.76848948
1322700200,139.3045895,35.76436658
1322700300,139.3008473,35.76046634
1322700500,139.3131593,35.7576718
1322700600,139.3152879,35.7541613
1322700700,139.3179658,35.75912053
1322700800,139.3188109,35.75217143
1322700900,139.3204245,35.75052753
1322701000,139.3100007,35.76104285
1322701100,139.3091424,35.76388445
