JASID,画面経度,画面緯度
1321800100,139.3202321,35.75024378
1321800200,139.3209875,35.74174508
1321800300,139.3245237,35.73937643
1321800400,139.3253133,35.74358422
1321800500,139.3325231,35.74386288
1321800600,139.3283689,35.73324548
1321800700,139.3283075,35.75070337
1321800800,139.3335087,35.74949147
1321800900,139.3375356,35.74138282
1321801000,139.3415868,35.73834535
1321801100,139.336128,35.73789947
1321801200,139.336917,35.73523342
1321801300,139.3390456,35.72968826
1321801400,139.3486929,35.72266464
1321801500,139.3372603,35.71742439
1321801600,139.3331187,35.71633926
1321801700,139.3354313,35.74539545
1321801800,139.335625,35.72550959
1321801900,139.3336337,35.72132872
