JASID,画面経度,画面緯度
1311209600,139.6846,35.6413
1311209900,139.6704,35.64323
1311210000,139.6699,35.63502
1311210300,139.6581,35.62882
1311210500,139.6318,35.61599
1311210700,139.6244,35.62158
1311210800,139.626,35.62008
1311210900,139.6263,35.61977
1311211000,139.6284,35.61925
1311211100,139.6283,35.61972
1311211200,139.6227,35.62252
1311211300,139.625,35.62042
1311211400,139.6257,35.6202
1311211500,139.6371,35.60871
1311211600,139.6354,35.61884
1311211700,139.6336,35.6134
1311211800,139.6437,35.60312
1311211900,139.6454,35.60118
1311212000,139.6785,35.60165
1311212100,139.6451,35.60425
1311212300,139.6424,35.60424
1311212500,139.6408,35.60633
1311212600,139.6397,35.60726
1311212700,139.6431,35.60508
1311212800,139.64,35.60704
