JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13107003000,13107,30,すみだく№30いせき,墨田区№30遺跡,墨田区 本所一丁目,[近世],屋敷,土坑　溝　建物跡,陶磁器　瓦類　木製品　金属製品,139.7987012,35.70310368
13107003100,13107,31,すみだく№31いせき,墨田区№31遺跡,墨田区 横川一丁目,[近世],社寺,,早桶,139.8094943,35.70392519
13107003200,13107,32,すみだく№32いせき,墨田区№32遺跡,墨田区 千歳三丁目,[近世],屋敷,土坑、溝、礎石,陶磁器類　木製品　瓦,139.796982,35.690418
13107003300,13107,33,すみだく№33いせき,墨田区№33遺跡,墨田区 錦糸四丁目,[近世],屋敷　その他（百姓地）,土坑　溝,陶磁器類　瓦　木製品　金属製品,139.8183843,35.69786004
13107003400,13107,34,すみだく№34いせき,墨田区№34遺跡,墨田区 太平一丁目,[近世],その他の墓,早桶,人骨　桶　陶磁器類,139.8115074,35.70246864
13107003500,13107,35,すみだく№35いせき,墨田区№35遺跡,墨田区 亀沢四丁目,[近世],屋敷,建物跡　池跡　井戸　土蔵　土留,陶磁器類　漆木製品　瓦　金属製品,139.807242,35.69765655
13107003600,13107,36,すみだく№36いせき,墨田区№36遺跡,墨田区 太平一丁目,[近世],その他（町人地）,土坑　土留跡　杭　溝　埋桶,陶磁器類　木製品　瓦　金属製品,139.8093227,35.70047929
13107003700,13107,37,,墨田区№37遺跡,墨田区 横網一丁目,[近世],屋敷,土坑　下水,陶磁器類　瓦　土器等,139.7936593,35.69888607
13107003800,13107,38,すみだく№38いせき,墨田区№38遺跡,墨田区 太平一丁目,[近世],社寺,土坑,墓石　陶磁器類　土器　人骨　貝　早桶,139.8097752,35.70072008
13107004000,13107,40,すみだく№40いせき,墨田区№40遺跡,墨田区 立花一丁目,[近世],集落,ゴミ穴,陶器　土器,139.829102,35.705215
13107004100,13107,41,すみだく№41いせき,墨田区№41遺跡,墨田区 業平五丁目,[近世],その他（寺院・境内）,建物基礎杭　ゴミ穴,陶磁器　瓦,139.8163088,35.70689565
13107004200,13107,42,すみだく№42いせき,墨田区№42遺跡,墨田区 太平一丁目,[近世],その他（寺院・境内）,建物基礎杭　盛土,陶磁器,139.8100093,35.70244358
13107004300,13107,43,すみだく№43いせき,墨田区№43遺跡,墨田区 江東橋二丁目,[近世],その他（大縄地）,下水木樋　竹樋　建物基礎　杭列　胞衣　盛土,陶磁器　土器　木製品,139.8120953,35.69589493
13107004400,13107,44,すみだく№44いせき,墨田区№44遺跡,墨田区 東駒形三丁目,[近世],社寺,下水溝　溝　埋桶　杭列　土坑　盛土,陶磁器　土器　木製品　墓標,139.8033828,35.70784307
13107004500,13107,45,すみだく№45いせき,墨田区№45遺跡,墨田区 東駒形二丁目,[近世],その他（町屋）,盛土,陶磁器　土器　土製品　漆製品　木材,139.8015102,35.70766566
13107004600,13107,46,すみだく№46いせき,墨田区No.46遺跡,墨田区 亀沢四丁目,[近世],その他（町屋）,盛土　木組状遺構,陶磁器,139.8080066,35.69689615
13107004700,13107,47,すみだく№47いせき,墨田区No.47遺跡,墨田区 向島一丁目,[近世],社寺,盛土　土坑　溝状遺構,陶磁器　瓦,139.8061138,35.71056746
13107004800,13107,48,,墨田区No.48遺跡,墨田区 立花一丁目,[近世],集落,[近世]盛土,(近世)陶磁器類,139.829102,35.705215
13107004900,13107,49,,墨田区No.49遺跡,墨田区 立花一丁目,[近世],集落,[近世]盛土,(近世)陶磁器類,139.829102,35.705215
13107005000,13107,50,,墨田区No.50遺跡,墨田区 石原一丁目,[近世],その他（町人地）,[近世]盛土　杭,(近世)陶磁器類,139.7973266,35.70043219
13107005100,13107,51,,墨田区No.51遺跡,墨田区 横川五丁目,[近世],屋敷,[近世]盛土　井戸状遺構,(近世)陶磁器,139.8183063,35.70499483
13107005200,13107,52,,墨田区No.52遺跡,墨田区 横網二丁目,[近世],屋敷,[近世]盛土　礎石　ゴミ穴,(近世)陶磁器、土器、木製品,139.7943927,35.69979853
13107005300,13107,53,,墨田区No.53遺跡,墨田区 亀沢四丁目,[近世],その他（町人地）,[近世]盛土　ゴミ穴,(近世)陶磁器、土器、木製品,139.8074292,35.69859438
13107005400,13107,54,,墨田区No.54遺跡,墨田区 亀沢一丁目,[近世],屋敷,[近世]盛土　礎石　杭　基礎　埋甕,(近世)陶磁器、土器、瓦,139.7979352,35.69806231
13107005500,13107,55,,墨田区No.55遺跡,墨田区 緑一丁目,[近世],屋敷,[近世]盛土　杭,(近世)陶磁器,139.7996264,35.69569215
13107005600,13107,56,,墨田区No.56遺跡,墨田区 千歳三丁目,[近世],屋敷,[近世]盛土　杭　溝状遺構,(近世)陶磁器　土器　瓦　木製品,139.796982,35.690418
13107005700,13107,57,,墨田区No.57遺跡,墨田区 千歳三丁目,[近世],その他（道路）,[近世]盛土（道路）,(近世)陶磁器　土器　瓦,139.796982,35.690418
13107005800,13107,58,,墨田区No.58遺跡,墨田区 本所二丁目,[近世],屋敷,[近世]土坑　礎石　杭,(近世)陶磁器,139.8000276,35.70306566
13107005900,13107,59,,墨田区No.59遺跡,墨田区 千歳三丁目,[近世],その他（河岸　堀）,[近世]盛土　土坑　礎石　杭,(近世)陶磁器　土器　土製品,139.796982,35.690418
13107006000,13107,60,,墨田区No.60遺跡,墨田区 亀沢四丁目,[近世],その他（町人地）,[近世]盛土　火事関連跡,(近世)陶磁器　土器　瓦,139.8077882,35.69827755
13107006100,13107,61,,墨田区No.61遺跡,墨田区 石原一丁目,[近世],屋敷,[近世]埋甕　埋桶　杭　盛土,(近世)陶磁器　木製品,139.7980913,35.7000013
13107006200,13107,62,,墨田区No.62遺跡,墨田区 業平四丁目,[近世],社寺,[近世]盛土,(近世)陶磁器,139.8145922,35.70844161
13107006300,13107,63,,墨田区No.63遺跡,墨田区 江東橋二丁目,[近世],屋敷,[近世]穴蔵、礎石、梅桶,(近世)陶磁器、土器、木製品,139.8114399,35.69513451
13107006400,13107,64,,墨田区No.64遺跡,墨田区 東駒形三丁目,[近世],社寺,盛土　土坑,陶磁器　土器,139.8034453,35.7074249
13107006500,13107,65,,墨田区No.65遺跡,墨田区 千歳二丁目,[近世],その他（門前町）,土坑　杭　盛土,陶磁器　土器,139.794617,35.690819
13107006600,13107,66,,墨田区No.66遺跡,墨田区 横川一丁目,[近世],その他の墓,墓,陶磁器　土器　墓石,139.8097283,35.70324088
13107006700,13107,67,,墨田区No.67遺跡,墨田区 本所一丁目,[近世],屋敷,土坑　礎石　盛土,陶磁器,139.7982642,35.70349653
