"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1321100100,13211,"1","おがわちょういっちょうめいせき","小川町一丁目遺跡","小平市 小川町一丁目","[旧石器時代]","包蔵地","","尖頭器",139.4581,35.73002
1321100200,13211,"2","はっしょういせき","八小遺跡","小平市 鈴木町一丁目","[奈良時代][平安時代]","集落","[奈良時代～平安時代]住居 市指定史跡－小平市八小遺跡（昭56.1.1)","土師器 砥石 瓦",139.5017,35.71965
1321100300,13211,"3","すずきいせき","鈴木遺跡","小平市 鈴木町 回田町 御幸町","[旧石器時代][縄文時代（前期～中期）][近世]","包蔵地・集落","[旧石器時代]ユニット 礫群 炭化物集中箇所 炉 土坑 [縄文時代]土坑 [近世]水車 水路 暗渠","ナイフ形石器 尖頭器 尖頭状石器 細石刃 台形様石器 掻器 彫器 石斧 礫器 敲石 磨石 台石 石核 縄文土器 打斧 石鏃 陶磁器 鉄製品 簪",139.499,35.71788
1321100400,13211,"4","はなこがねいみなみいせき","花小金井南遺跡","小平市 花小金井南町一丁目","[旧石器時代]","包蔵地・集落","[旧石器時代]礫群","削器 剥片 石核 礫",139.5133,35.72026
