"JASID","自治体コード","時代","経度","緯度","晩期"
1311228800,13112,"[縄文時代（早期～晩期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]",139.6192162,35.62029178,1
1311302000,13113,"[縄文時代（後期～晩期]",139.6992573,35.68015498,1
1311305800,13113,"[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代]",139.720998,35.64621084,1
1311400700,13114,"[縄文時代（晩期）]",139.6345676,35.72197418,1
1311401600,13114,"[縄文時代（晩期）]",139.6568507,35.71831956,1
1311408400,13114,"[縄文時代（後期～晩期）][古墳時代][近世]",139.6704534,35.68784599,1
1311507800,13115,"[縄文時代（中期～晩期）][古墳時代][中世]",139.613695831124,35.682032413789,1
1311518700,13115,"[縄文時代（中期～晩期）]［弥生時代（後期）］",139.645281525793,35.6888086565039,1
1311600100,13116,"[縄文時代（前期～晩期）][弥生時代][平安時代][近世]",139.7105424,35.74290873,1
1320401400,13204,"[旧石器時代][縄文時代（早期～晩期）][古墳時代][奈良時代][平安時代][中世][近世]",139.5358014,35.67239775,1
1320500300,13205,"[縄文時代（晩期）][奈良時代][平安時代]",139.230486559213,35.8304430779479,1
1320508100,13205,"[縄文時代（中期～晩期）][奈良時代][平安時代]",139.260946055562,35.7839513295575,1
1320700400,13207,"[縄文時代（中期・晩期][奈良時代][平安時代]",139.342871,35.7057492,1
1320801000,13208,"[縄文時代（中期～晩期）][奈良時代][平安時代][近世]",139.5578128,35.67407388,1
1320803800,13208,"[旧石器時代][縄文時代（前期～晩期）][古墳時代][奈良時代][平安時代][近世]",139.5229111,35.65969456,1
1320803900,13208,"[縄文時代（早期～前期・後期～晩期）][古墳時代][平安時代][中世]",139.528214,35.655678,1
1320804500,13208,"[旧石器時代][縄文時代（早期～晩期）][古墳時代][奈良時代][平安時代][中世][近世]",139.5445643,35.64632794,1
1320804600,13208,"[縄文時代（早期～晩期）][古墳時代][奈良時代][平安時代][近世]",139.5495276,35.64537974,1
1320804900,13208,"[縄文時代（晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]",139.5573796,35.64174287,1
1321201400,13212,"[縄文時代（後期～晩期）][古墳時代][奈良時代][平安時代][中世][近世]",139.4106364,35.67173494,1
1321203800,13212,"[縄文時代（晩期）][弥生時代（中期）][古墳時代][奈良時代][平安時代][中世][近世]",139.4368986,35.65469381,1
1321906500,13219,"[縄文時代（中期～晩期）][弥生時代][古墳時代][奈良時代][中世]",139.5672118,35.63463074,1
1322301300,13223,"[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代]",139.387821,35.75868928,1
1322301800,13223,"[旧石器時代][縄文時代（草創期～晩期）][弥生時代（後期）][古墳時代][平安時代][中世]",139.3980655,35.75746344,1
1322801200,13228,"[縄文時代（中期～晩期）]",139.2181275,35.72910083,1
1322802600,13228,"[縄文時代（中期～晩期）][古墳時代][平安時代]",139.2434991,35.73311408,1
1322806400,13228,"[縄文時代（後期～晩期）][古墳時代][平安時代]",139.3090809,35.73508602,1
1322808800,13228,"[縄文時代（前期～晩期）][古墳時代]",139.309671,35.72412427,1
1330700500,13307,"[旧石器時代][縄文時代（早期・中期～晩期）]",139.1125791,35.73067187,1
1330701700,13307,"[縄文時代（中期～晩期）]",139.1449211,35.72981401,1
1330803700,13308,"[縄文時代（中期・晩期）]",139.151696031337,35.8174964521074,1
