JASID,画面経度,画面緯度
1311200100,139.59153,35.67412332
1311200200,139.5984894,35.66311113
1311200300,139.596436,35.659981
1311200400,139.611902,35.66315993
1311200500,139.6152536,35.65838154
1311200600,139.6124427,35.65667294
1311200700,139.6035377,35.65423201
1311200800,139.5981209,35.63537324
1311200900,139.6006734,35.63379948
1311201002,139.6026937,35.63488369
1311201003,139.6017589,35.6335968
1311201004,139.6018616,35.63283375
1311201005,139.6025804,35.63256549
1311201006,139.6034605,35.63282779
1311201007,139.6026937,35.63488369
1311201008,139.600336,35.63324509
1311201009,139.6012895,35.63365045
1311201800,139.5990011,35.63509307
1311201900,139.5923661,35.6414265
1311202000,139.5921314,35.64018666
1311202100,139.6011518,35.64216405
1311202200,139.5986874,35.64361844
1311202300,139.5935426,35.62879711
1311202400,139.5968285,35.62662704
1311202500,139.5968872,35.6273663
