JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構／概要,主な出土品
13107000100,13107,1,うめわかづか,梅若塚,墨田区 堤通二丁目,[近世],塚,,
13107000200,13107,2,,墨田区No.2遺跡,墨田区 立花一丁目,[縄文時代（後期）],包蔵地,,縄文土器
13107000300,13107,3,,墨田区No.3遺跡,墨田区 東向島一丁目,[近世],井戸跡,[近世]井戸,井戸側
13107000400,13107,4,ふげんじいせき,普賢寺遺跡,墨田区 東駒形一丁目,[近世],墓地跡,,墓石　人骨
13107000500,13107,5,,墨田区No.5遺跡,墨田区 横網一丁目,[古墳時代][近世],包蔵地・その他（幕府御用地）,,土師器
13107000600,13107,6,,墨田区No.6遺跡,墨田区 東駒形三丁目,[近世],墓地跡,,陶磁器　人骨
13107000700,13107,7,,墨田区No.7遺跡,墨田区 吾妻橋一丁目,[近世],大名藩邸跡,,陶磁器　木製品　曲物
13107000800,13107,8,だいうんじあと,大雲寺跡,墨田区 業平三丁目,[近世],その他の墓・社寺,,蔵骨器　墓石　陶磁器　瓦　甕棺　箱形木棺　早桶　銭貨　人骨
13107000900,13107,9,,墨田区No.9遺跡,墨田区 向島一丁目,[近世],上水跡,[近世]木樋　桝,
13107001000,13107,10,,墨田区No.10遺跡,墨田区 太平一丁目,[近世],墓地跡,墓 井戸,木棺 人骨 大甕 陶磁器 土器（火消壺） 墓標 銭貨 金属製品（煙管） 漆製品 木製品
13107001101,13107,11-1,ほんじょおくらあと,本所御蔵跡,墨田区 横網一丁目,[近世],その他（幕府御用地）,堀割　石組橋脚,陶磁器類　木製品　瓦
13107001102,13107,11-2,ほんじょおくらあと,本所御蔵跡,墨田区 横網一丁目,[近世],その他（幕府御用地）,杭柵列　階段状遺構,陶磁器類　金属製品　木製品
13107001103,13107,11-3,ほんじょおくらあと,本所御蔵跡,墨田区 横網一丁目,[近世],その他（幕府御用地）,堀割（石組・土留）,陶磁器類　瓦　木製品類　近代荷札　金属製品
13107001104,13107,11-4,ほんじょおくらあと,本所御蔵跡,墨田区 横網二丁目,[近世],その他（幕府御用地）,土留遺構　敷石遺構,陶磁器類　瓦　金属製品
