JASID,自治体コード,経度,緯度
13102014200,13102,139.7831655,35.69248084
13102014300,13102,139.7762123,35.67706614
13102014400,13102,139.7811495,35.67196317
13102014500,13102,139.775024,35.675598
13102014600,13102,139.7808333,35.67628525
13102014700,13102,139.775024,35.675598
13102014800,13102,139.7783053,35.68129839
13102014900,13102,139.775024,35.675598
13102015000,13102,139.775024,35.675598
13102015100,13102,139.7609499,35.66878907
13102015200,13102,139.778317,35.67270227
