"JASID","経度","緯度"
1320500100,139.170851392014,35.8456116983389
1320500200,139.217234301109,35.8372066924572
1320500300,139.230486559213,35.8304430779479
1320500400,139.247277998334,35.8258888103
1320500500,139.216478990461,35.8270749731605
1320500600,139.232031508986,35.8110397178005
1320500700,139.243876143996,35.8210899702837
1320500800,139.24865128935,35.824608317824
1320500900,139.267499709718,35.8337383417722
1320501000,139.275670792309,35.8382472952626
1320501100,139.276632097067,35.8393327472292
1320501200,139.254728109559,35.8021406550083
1320501300,139.267911702523,35.816563008558
1320501400,139.274026655727,35.8087072694474
1320501500,139.274057180342,35.8189572020885
1320501600,139.279962331316,35.820432657293
1320501700,139.282502919564,35.8196531756027
1320501800,139.287893086408,35.8234669965174
1320501900,139.292733937369,35.8238010463515
1320502000,139.288099080191,35.8257774700772
1320502100,139.288408070539,35.8265847286152
1320502200,139.293111593184,35.83101058131
1320502300,139.29276826912,35.8331538337386
1320502400,139.28882005876,35.8360763520822
1320502500,139.174500980464,35.8059254417065
1320502600,139.177419221253,35.8005514495198
1320502700,139.183839355703,35.8052015065726
1320502800,139.184937988778,35.807150551674
1320502900,139.186791932173,35.8067050602924
1320503000,139.193315063187,35.8058976001304
1320503100,139.206876309674,35.8068442772814
1320503200,139.20824960069,35.8070113373461
1320503300,139.210687192374,35.807623886848
1320503400,139.210755857186,35.8111877077629
1320503500,139.220574888079,35.8118002239903
1320503600,139.215631041209,35.8055913219683
1320503700,139.215493711583,35.8050901338838
1320503800,139.21442941157,35.8028904363126
1320503900,139.22332147011,35.8060089743423
1320504000,139.217416319136,35.8010248213646
1320504100,139.219132932906,35.8006906767634
1320504200,139.220300230138,35.8014424998742
1320504300,139.220094236355,35.7992705478557
1320504400,139.220059904603,35.7975162356086
1320504500,139.223424467984,35.7986300892789
1320504600,139.224145445244,35.7967086812422
1320504700,139.208867584005,35.803085346203
1320504800,139.211408171598,35.8013032712928
1320504900,139.213571104685,35.8001894551016
1320505000,139.214635404699,35.79935408271
1320505100,139.212506802053,35.7930049696682
1320505200,139.214189084071,35.7921695217354
1320505300,139.220162900513,35.7946758391833
1320505400,139.225450072756,35.7915011566402
1320505500,139.226377043144,35.7881592489688
1320505600,139.220918212306,35.7831739777713
1320505700,139.223012480581,35.7823941303963
1320505800,139.226068053942,35.780333067377
1320505900,139.227887664276,35.7793860743306
1320506000,139.232865844863,35.7784669217334
1320506100,139.234239135878,35.7749573410455
1320506200,139.228780305532,35.7868503003375
1320506300,139.235303438511,35.7828397602259
1320506400,139.237706695824,35.7864603974994
1320506500,139.243337189512,35.7889947449045
1320506600,139.239560639219,35.788883346308
1320506700,139.235646759628,35.7925315572096
1320506800,139.246564423922,35.7903315118991
1320506900,139.249070680091,35.7902201154419
1320507000,139.25157693626,35.7906935488416
1320507100,139.250615632156,35.7879086083024
1320507200,139.250855958346,35.78565273343
1320507300,139.260259410054,35.7918885521054
1320507400,139.237706695169,35.7821713145448
1320507500,139.239114319246,35.7815028664302
1320507600,139.242513214378,35.7834803474012
1320507700,139.24254754613,35.7854299253844
1320507800,139.248109376315,35.7840652285792
1320507900,139.248830353574,35.7828119124189
1320508000,139.25559022047,35.7842298419753
1320508100,139.260946055562,35.7839513295575
1320508200,139.258783122474,35.7852046288152
1320508300,139.261117716939,35.7872377147557
1320508400,139.26163629236,35.7882706501738
1320508500,139.262182017607,35.7884631107899
1320508600,139.267366191976,35.7880175124864
1320508700,139.263349314839,35.7908859988097
1320508800,139.27172638974,35.783422154444
1320508900,139.278558512739,35.7828094204608
1320509000,139.279966136161,35.7813889709088
1320509100,139.286969921519,35.7789379407645
1320509200,139.274541636911,35.7808040732271
1320509300,139.280172130599,35.7760690253717
1320509400,139.293085787526,35.7666628768171
1320509500,139.2862536642,35.7640721005247
1320509600,139.265203257579,35.792501216098
1320509700,139.267125865787,35.791999945427
1320509800,139.273683329208,35.7913315799678
1320509900,139.272069712002,35.7925569128801
1320510000,139.274850625785,35.7958986356183
1320510100,139.273614664395,35.7959264833547
1320510200,139.271005412644,35.7974023664864
1320510300,139.276292585706,35.7974023640963
1320510400,139.280687116694,35.7968732780115
1320510500,139.281785749114,35.7980149845135
1320510600,139.282026075304,35.7997135961455
1320510700,139.28120210148,35.8015792408253
1320510800,139.27773454088,35.7953138455059
1320510900,139.282403730464,35.7959543308157
1320511000,139.282987379407,35.7918607048129
1320511100,139.285665297281,35.7965669623982
1320511200,139.284154675821,35.799435137193
1320511300,139.286214612672,35.7999085156896
1320511400,139.28573396062,35.8005768100666
1320511500,139.289716504369,35.7990174481292
1320511600,139.293115400648,35.7965391170108
1320511700,139.280172133218,35.8053939298981
1320511800,139.279966139435,35.8050876471384
1320511900,139.280996107697,35.8047535196272
1320512000,139.28120210148,35.8041409501121
1320512100,139.281957411146,35.804113105255
1320512200,139.283124708378,35.8038625074754
1320512300,139.283708357322,35.803027173709
1320512400,139.284875655209,35.8044750791379
1320512500,139.285184644901,35.8039181952311
1320512600,139.287519240676,35.8021082966323
1320512700,139.28937318096,35.8028322623481
1320512800,139.289064190613,35.8045864582655
1320512900,139.293527386414,35.8037789760342
1320513000,139.295278332589,35.8073151268085
1320513100,139.297166607736,35.8068417924496
1320513200,139.299775860142,35.8089021669226
1320513300,139.300186,35.796509
1320513400,139.298436902187,35.7979036020142
1320513500,139.297887584995,35.8002983549364
1320513600,139.299432537388,35.801996915092
