JASID,画面経度,画面緯度
1320800100,139.5819554,35.66843074
1320800200,139.5850312,35.67069691
1320800300,139.5874488,35.66911635
1320800400,139.5894943,35.66679208
1320800500,139.584402,35.66485111
1320800600,139.5810261,35.65903992
1320800700,139.5854034,35.65376101
1320800800,139.5872189,35.64995753
1320800900,139.5892481,35.64760604
1320801000,139.5578128,35.67407388
1320801100,139.5649612,35.66571255
1320801200,139.5787658,35.65855429
1320801300,139.5797814,35.65447452
1320801400,139.580732,35.65022075
1320801500,139.5829921,35.64979077
1320801600,139.5433433,35.66933823
1320801700,139.5485285,35.67118026
1320801800,139.549816,35.66756606
1320801900,139.5527975,35.66987773
1320802000,139.5554739,35.668594
1320802100,139.5545693,35.66449814
1320802200,139.5463482,35.66730348
1320802300,139.5504021,35.66519745
1320802400,139.546148,35.6658855
1320802500,139.5588752,35.66405133
1320802600,139.5692242,35.66035436
