JASID,市町村コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1311226602,13112,266-2,しものだ2ごうふん,下野田2号墳,世田谷区 喜多見六丁目,[古墳時代],古墳？,円墳?,
1311226800,13112,268,なかしんめいおうけつぼぐん,中神明横穴墓群,世田谷区 成城三丁目,[古墳時代],横穴墓,7基,土師器 須恵器 刀子 人骨
