JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
13119000100,13119,1,なりますいっちょうめいせき,成増一丁目遺跡,板橋区 成増一丁目,[縄文時代（早期～中期）][弥生時代（後期）][古墳時代],包蔵地・集落,[縄文時代]住居　土坑　埋甕　[弥生時代][古墳時代]住居　倉庫,縄文土器　石器　弥生土器　土師器　土製勾玉
13119000200,13119,2,なりますずうこう／なりますしんでんばらいせき,成増百向／成増新田原遺跡,板橋区 成増二丁目　 成増三丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）],包蔵地・集落,[縄文時代]住居　竪穴状遺構　集石　[弥生時代]住居,縄文土器　石器　弥生土器
13119000300,13119,3,なりますとのやまいせき,成増との山遺跡,板橋区 成増三丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（中期～後期）],包蔵地・集落,[旧石器時代]ブロック　礫群　[縄文時代]土坑　[弥生時代]住居,ナイフ形石器　角錐状石器　台形様石器　楔形石器　掻器　彫器　敲石　石核　剥片　焼礫　縄文土器　石器　弥生土器
13119000400,13119,4,,板橋区№4遺跡,板橋区 成増四丁目,[縄文時代（前期）],包蔵地,,縄文土器
13119000500,13119,5,,板橋区№5遺跡,板橋区 成増四丁目,[弥生時代（後期）][古墳時代],包蔵地,,弥生土器　土師器
13119000600,13119,6,,板橋区№6遺跡,板橋区 成増四丁目,[縄文時代][弥生時代][古墳時代],包蔵地,,縄文土器　磨斧　弥生土器　土師器　須恵器
13119000700,13119,7,すがわらじんじゃだいちうえいせき,菅原神社台地上遺跡,板橋区 成増四丁目　 成増五丁目,[旧石器時代][縄文時代（前期）][弥生時代（後期）][古墳時代][平安時代][近世],集落・古墳,[旧石器時代]ブロック　礫群　[縄文時代]住居　炉穴　焼土　土坑　墓壙　[弥生時代]住居　掘立柱建物　ピット　焼土　土坑　[古墳時代]円墳　方形周溝墓　[平安時代]住居　[近世]土坑　溝状遺構,ナイフ形石器　台形様石器　剥片　礫　縄文土器　磨斧　石鏃　石皿　台石　弥生土器　土師器　須恵器　土製玉類　ガラス小玉　けつ状耳飾　陶磁器　鉄製品　ガラス製品
13119000800,13119,8,なりますてんじんわきいせき,成増天神脇遺跡,板橋区 成増四丁目　 成増五丁目,[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][古墳時代][奈良時代][近世],包蔵地,,縄文土器　弥生土器
13119000900,13119,9,あかつかおおつかはらいせき,赤塚大塚原遺跡,板橋区 赤塚一丁目,[旧石器時代][縄文時代（後期）],包蔵地・集落,[旧石器時代]ブロック　[縄文時代]陥し穴　土坑　ピット,ナイフ形石器　縄文土器　スタンプ形石器　弥生土器
13119001000,13119,10,,板橋区№10遺跡,板橋区 赤塚一丁目,[縄文時代],包蔵地,,
13119001100,13119,11,,板橋区№11遺跡,板橋区 赤塚二丁目,[時代不明],包蔵地,,
13119001200,13119,12,あかつかかみやつみなみいせき,赤塚上谷津南遺跡,板橋区 赤塚二丁目,[縄文時代][弥生時代（後期）][古墳時代],集落,[弥生時代]住居,
13119001300,13119,13,,板橋区№13遺跡,板橋区 赤塚二丁目　 赤塚六丁目,[縄文時代][古墳時代],包蔵地,,
13119001400,13119,14,あかつかはらいせき,赤塚原遺跡,板橋区 赤塚三丁目,[縄文時代（早期）][弥生時代（後期）][奈良時代][平安時代][近世],包蔵地・集落,[縄文時代]炉穴　土坑　陥穴　[奈良時代][平安時代]住居跡　掘立柱建物跡　ピット列　ピット　[近世]溝状遺構　井戸,土師器　須恵器　石器　縄文土器　須恵系土師質土器　陶磁器　近世土器
13119001500,13119,15,,板橋区№15遺跡,板橋区 成増二丁目　 赤塚三丁目,[縄文時代],包蔵地,,
13119001600,13119,16,,板橋区№16遺跡,板橋区 赤塚三丁目,[縄文時代][古墳時代],包蔵地,,
13119001700,13119,17,,板橋区№17遺跡,板橋区 成増四丁目　 赤塚三丁目,[縄文時代][古墳時代],包蔵地,,縄文土器　土師器　須恵器
13119001800,13119,18,,板橋区№18遺跡,板橋区 赤塚四丁目,[縄文時代][弥生時代][古墳時代],包蔵地,,縄文土器　弥生土器
13119001900,13119,19,あかつかかぶらがやとみなみいせき,赤塚蕪ヶ谷戸南遺跡,板橋区 赤塚四丁目,[弥生時代],包蔵地,[弥生時代]住居,弥生土器
13119002000,13119,20,かいとかいづか,海戸貝塚,板橋区 赤塚四丁目,[縄文時代（中期～後期）],包蔵地・貝塚,,縄文土器
13119002100,13119,21,あかつかかぶらがやときたいせき,赤塚蕪ヶ谷戸北遺跡,板橋区 赤塚四丁目,[弥生時代（後期）][古墳時代],包蔵地,[弥生時代]住居,弥生土器　土師器
13119002200,13119,22,あかつかひかわじんじゃほっぽういせき,赤塚氷川神社北方遺跡,板橋区 赤塚四丁目,[旧石器時代][縄文時代（晩期）][弥生時代（中期～後期）][古墳時代][奈良時代][近世],包蔵地・集落,[弥生時代][古墳時代]住居,ナイフ形石器　縄文土器　石器　弥生土器　土師器　須恵器
13119002300,13119,23,はくさんじんじゃかいづか,白山神社貝塚,板橋区 赤塚四丁目,[縄文時代（中期～後期）][中世],包蔵地・貝塚,,縄文土器
13119002400,13119,24,,板橋区№24遺跡,板橋区 赤塚四丁目　 赤塚五丁目,[縄文時代（後期）][弥生時代][古墳時代],包蔵地,,
13119002500,13119,25,,板橋区№25遺跡,板橋区 赤塚五丁目,[古墳時代],包蔵地,,土師器
13119002600,13119,26,あかつかじょうしかいづか,赤塚城址貝塚,板橋区 赤塚五丁目,[縄文時代（前期・後期～晩期）][弥生時代（後期）][古墳時代],包蔵地・貝塚,[古墳時代？]木道,縄文土器　石器　石棒　土偶　牙玉　貝輪　弥生土器　土師器　加工木材
13119002700,13119,27,,板橋区№27遺跡,板橋区 赤塚五丁目,[縄文時代],包蔵地,,
13119002800,13119,28,あかつかじょうし,赤塚城址,板橋区 赤塚四丁目　 赤塚五丁目,[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][中世],包蔵地・城館,[古墳時代]木道　[中世]堀　曲輪,縄文土器　石器　加工木材土師器
13119002900,13119,29,あかつかしのがやといせき,赤塚篠ヶ谷戸遺跡,板橋区 赤塚二丁目　 赤塚六丁目,[縄文時代（後期）][弥生時代（後期）][古墳時代],集落,[弥生時代]住居,弥生土器
13119003000,13119,30,,板橋区№30遺跡,板橋区 赤塚七丁目　 徳丸四丁目,[縄文時代],集落,[時代不明]住居,縄文土器　石斧　石鏃
13119003100,13119,31,,板橋区№31遺跡,板橋区 赤塚七丁目,[縄文時代（前期）][弥生時代][古墳時代],包蔵地・集落,,縄文土器　石器　弥生土器　土師器
13119003200,13119,32,,板橋区№32遺跡,板橋区 赤塚七丁目,[縄文時代（前期）],包蔵地,,縄文土器
13119003300,13119,33,しょうげついんけいだい・だいもん・あかつかしもじけばんじょうめんいせき,松月院境内・大門・赤塚下寺家番匠免遺跡,板橋区 赤塚五丁目　 赤塚六丁目　 赤塚七丁目　 赤塚八丁目　 大門,[旧石器時代][縄文時代（早期～晩期）][弥生時代（中期～後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,[旧石器時代]ブロック　礫群　[縄文時代]住居　炉穴　[弥生時代]住居　方形周溝墓　[古墳時代]住居　方形周溝墓　[奈良時代][平安時代]住居　[中世]土坑　地下式土壙　ピット　[近世]土坑,ナイフ形石器　石刃　角錐状石器　掻器　縄文土器　石器　弥生土器　土師器　須恵器　紡錘車　青銅環　陶磁器　カワラケ　板碑　五輪塔
13119003400,13119,34,,板橋区№34遺跡,板橋区 赤塚八丁目,[縄文時代][弥生時代][古墳時代][中世],包蔵地,,縄文土器　石器　弥生土器　土師器　須恵器
13119003500,13119,35,,板橋区№35遺跡,板橋区 大門,[縄文時代][弥生時代（後期）][古墳時代][平安時代],包蔵地・集落,[弥生時代]住居,縄文土器　弥生土器　土師器　須恵器
13119003600,13119,36,,板橋区№36遺跡,板橋区 四葉一丁目,[縄文時代][弥生時代][古墳時代],包蔵地・集落,[古墳時代]住居,弥生土器　土師器
